chapter	verses
Gen.1	31
Gen.2	25
Gen.3	24
Gen.4	26
Gen.5	32
Gen.6	22
Gen.7	24
Gen.8	22
Gen.9	29
Gen.10	32
Gen.11	32
Gen.12	20
Gen.13	18
Gen.14	24
Gen.15	21
Gen.16	16
Gen.17	27
Gen.18	33
Gen.19	38
Gen.20	18
Gen.21	34
Gen.22	24
Gen.23	20
Gen.24	67
Gen.25	34
Gen.26	35
Gen.27	46
Gen.28	22
Gen.29	35
Gen.30	43
Gen.31	54
Gen.32	33
Gen.33	20
Gen.34	31
Gen.35	29
Gen.36	43
Gen.37	36
Gen.38	30
Gen.39	23
Gen.40	23
Gen.41	57
Gen.42	38
Gen.43	34
Gen.44	34
Gen.45	28
Gen.46	34
Gen.47	31
Gen.48	22
Gen.49	33
Gen.50	26
Exod.1	22
Exod.2	25
Exod.3	22
Exod.4	31
Exod.5	23
Exod.6	30
Exod.7	29
Exod.8	28
Exod.9	35
Exod.10	29
Exod.11	10
Exod.12	51
Exod.13	22
Exod.14	31
Exod.15	27
Exod.16	36
Exod.17	16
Exod.18	27
Exod.19	25
Exod.20	26
Exod.21	37
Exod.22	30
Exod.23	33
Exod.24	18
Exod.25	40
Exod.26	37
Exod.27	21
Exod.28	43
Exod.29	46
Exod.30	38
Exod.31	18
Exod.32	35
Exod.33	23
Exod.34	35
Exod.35	35
Exod.36	38
Exod.37	29
Exod.38	31
Exod.39	43
Exod.40	38
Lev.1	17
Lev.2	16
Lev.3	17
Lev.4	35
Lev.5	26
Lev.6	23
Lev.7	38
Lev.8	36
Lev.9	24
Lev.10	20
Lev.11	47
Lev.12	8
Lev.13	59
Lev.14	57
Lev.15	33
Lev.16	34
Lev.17	16
Lev.18	30
Lev.19	37
Lev.20	27
Lev.21	24
Lev.22	33
Lev.23	44
Lev.24	23
Lev.25	55
Lev.26	46
Lev.27	34
Num.1	54
Num.2	34
Num.3	51
Num.4	49
Num.5	31
Num.6	27
Num.7	89
Num.8	26
Num.9	23
Num.10	36
Num.11	35
Num.12	16
Num.13	33
Num.14	45
Num.15	41
Num.16	35
Num.17	28
Num.18	32
Num.19	22
Num.20	29
Num.21	35
Num.22	41
Num.23	30
Num.24	25
Num.25	18
Num.26	65
Num.27	23
Num.28	31
Num.29	39
Num.30	17
Num.31	54
Num.32	42
Num.33	56
Num.34	29
Num.35	34
Num.36	13
Deut.1	46
Deut.2	37
Deut.3	29
Deut.4	49
Deut.5	33
Deut.6	25
Deut.7	26
Deut.8	20
Deut.9	29
Deut.10	22
Deut.11	32
Deut.12	31
Deut.13	19
Deut.14	29
Deut.15	23
Deut.16	22
Deut.17	20
Deut.18	22
Deut.19	21
Deut.20	20
Deut.21	23
Deut.22	29
Deut.23	26
Deut.24	22
Deut.25	19
Deut.26	19
Deut.27	26
Deut.28	69
Deut.29	28
Deut.30	20
Deut.31	30
Deut.32	52
Deut.33	29
Deut.34	12
Josh.1	18
Josh.2	24
Josh.3	17
Josh.4	24
Josh.5	15
Josh.6	27
Josh.7	26
Josh.8	35
Josh.9	27
Josh.10	43
Josh.11	23
Josh.12	24
Josh.13	33
Josh.14	15
Josh.15	63
Josh.16	10
Josh.17	18
Josh.18	28
Josh.19	51
Josh.20	9
Josh.21	45
Josh.22	34
Josh.23	16
Josh.24	33
Judg.1	36
Judg.2	23
Judg.3	31
Judg.4	24
Judg.5	31
Judg.6	40
Judg.7	25
Judg.8	35
Judg.9	57
Judg.10	18
Judg.11	40
Judg.12	15
Judg.13	25
Judg.14	20
Judg.15	20
Judg.16	31
Judg.17	13
Judg.18	31
Judg.19	30
Judg.20	48
Judg.21	25
Ruth.1	22
Ruth.2	23
Ruth.3	18
Ruth.4	22
1Sam.1	28
1Sam.2	36
1Sam.3	21
1Sam.4	22
1Sam.5	12
1Sam.6	21
1Sam.7	17
1Sam.8	22
1Sam.9	27
1Sam.10	27
1Sam.11	15
1Sam.12	25
1Sam.13	23
1Sam.14	52
1Sam.15	35
1Sam.16	23
1Sam.17	58
1Sam.18	30
1Sam.19	24
1Sam.20	42
1Sam.21	16
1Sam.22	23
1Sam.23	28
1Sam.24	23
1Sam.25	44
1Sam.26	25
1Sam.27	12
1Sam.28	25
1Sam.29	11
1Sam.30	31
1Sam.31	13
2Sam.1	27
2Sam.2	32
2Sam.3	39
2Sam.4	12
2Sam.5	25
2Sam.6	23
2Sam.7	29
2Sam.8	18
2Sam.9	13
2Sam.10	19
2Sam.11	27
2Sam.12	31
2Sam.13	39
2Sam.14	33
2Sam.15	37
2Sam.16	23
2Sam.17	29
2Sam.18	32
2Sam.19	44
2Sam.20	26
2Sam.21	22
2Sam.22	51
2Sam.23	39
2Sam.24	25
1Kgs.1	53
1Kgs.2	46
1Kgs.3	28
1Kgs.4	20
1Kgs.5	32
1Kgs.6	38
1Kgs.7	51
1Kgs.8	66
1Kgs.9	28
1Kgs.10	29
1Kgs.11	43
1Kgs.12	33
1Kgs.13	34
1Kgs.14	31
1Kgs.15	34
1Kgs.16	34
1Kgs.17	24
1Kgs.18	46
